round1 result: own hp -743 vs opp hp -220, you lose, hp_diff: -523, avg_loss: 2.6518, Total reward: -52.46
round2 result: own hp -719 vs opp hp -435, you lose, hp_diff: -284, avg_loss: 1.0804, Total reward: -29.08000000000002
round3 result: own hp -584 vs opp hp -336, you lose, hp_diff: -248, avg_loss: 0.6705, Total reward: -29.000000000000014
round4 result: own hp -821 vs opp hp -118, you lose, hp_diff: -703, avg_loss: 0.8278, Total reward: -68.90000000000005
round5 result: own hp -440 vs opp hp -163, you lose, hp_diff: -277, avg_loss: 0.8583, Total reward: -26.530000000000005
round6 result: own hp -730 vs opp hp -265, you lose, hp_diff: -465, avg_loss: 1.0117, Total reward: -47.57000000000003
round7 result: own hp -537 vs opp hp -278, you lose, hp_diff: -259, avg_loss: 0.9220, Total reward: -29.609999999999985
round8 result: own hp -740 vs opp hp -320, you lose, hp_diff: -420, avg_loss: 1.2151, Total reward: -41.79000000000005
round9 result: own hp -791 vs opp hp -308, you lose, hp_diff: -483, avg_loss: 1.3886, Total reward: -48.330000000000005
round10 result: own hp -532 vs opp hp -208, you lose, hp_diff: -324, avg_loss: 1.5354, Total reward: -33.51000000000002
round11 result: own hp -602 vs opp hp -194, you lose, hp_diff: -408, avg_loss: 1.4695, Total reward: -37.91000000000001
round12 result: own hp -434 vs opp hp -250, you lose, hp_diff: -184, avg_loss: 1.5806, Total reward: -19.78000000000002
round13 result: own hp -489 vs opp hp -248, you lose, hp_diff: -241, avg_loss: 1.6291, Total reward: -24.430000000000046
round14 result: own hp -629 vs opp hp -215, you lose, hp_diff: -414, avg_loss: 1.3569, Total reward: -39.300000000000004
round15 result: own hp -649 vs opp hp -269, you lose, hp_diff: -380, avg_loss: 1.4705, Total reward: -39.430000000000014
round16 result: own hp -777 vs opp hp -356, you lose, hp_diff: -421, avg_loss: 1.4976, Total reward: -41.99000000000004
round17 result: own hp -744 vs opp hp -225, you lose, hp_diff: -519, avg_loss: 1.7536, Total reward: -51.19
round18 result: own hp -647 vs opp hp -260, you lose, hp_diff: -387, avg_loss: 1.5688, Total reward: -41.27000000000003
round19 result: own hp -440 vs opp hp -196, you lose, hp_diff: -244, avg_loss: 1.7524, Total reward: -23.929999999999993
round20 result: own hp -780 vs opp hp -338, you lose, hp_diff: -442, avg_loss: 1.4655, Total reward: -43.690000000000026
round21 result: own hp -666 vs opp hp -149, you lose, hp_diff: -517, avg_loss: 1.7117, Total reward: -49.67000000000002
round22 result: own hp -521 vs opp hp -233, you lose, hp_diff: -288, avg_loss: 1.4204, Total reward: -29.059999999999995
round23 result: own hp -547 vs opp hp -188, you lose, hp_diff: -359, avg_loss: 1.7861, Total reward: -35.93000000000006
round24 result: own hp -629 vs opp hp -305, you lose, hp_diff: -324, avg_loss: 1.6667, Total reward: -32.860000000000014
round25 result: own hp -739 vs opp hp -272, you lose, hp_diff: -467, avg_loss: 1.7719, Total reward: -46.480000000000054
round26 result: own hp -790 vs opp hp -323, you lose, hp_diff: -467, avg_loss: 1.7087, Total reward: -46.75000000000003
round27 result: own hp -867 vs opp hp -335, you lose, hp_diff: -532, avg_loss: 1.5484, Total reward: -55.79000000000001
