round1 result: own hp -489 vs opp hp -316, you lose, hp_diff: -173, avg_loss: 0.9836, Total reward: -19.559999999999985
round2 result: own hp -648 vs opp hp -270, you lose, hp_diff: -378, avg_loss: 0.8396, Total reward: -35.88000000000001
round3 result: own hp -653 vs opp hp -141, you lose, hp_diff: -512, avg_loss: 0.8289, Total reward: -50.99000000000001
round4 result: own hp -604 vs opp hp -102, you lose, hp_diff: -502, avg_loss: 0.6861, Total reward: -50.71999999999998
round5 result: own hp -583 vs opp hp -71, you lose, hp_diff: -512, avg_loss: 0.2868, Total reward: -48.990000000000045
round6 result: own hp -584 vs opp hp -211, you lose, hp_diff: -373, avg_loss: 0.7037, Total reward: -36.60999999999996
round7 result: own hp -577 vs opp hp -103, you lose, hp_diff: -474, avg_loss: 0.2414, Total reward: -46.930000000000106
round8 result: own hp -691 vs opp hp -165, you lose, hp_diff: -526, avg_loss: 1.0250, Total reward: -51.80999999999999
round9 result: own hp -625 vs opp hp -198, you lose, hp_diff: -427, avg_loss: 0.4912, Total reward: -42.41999999999998
round10 result: own hp -579 vs opp hp -173, you lose, hp_diff: -406, avg_loss: 0.6768, Total reward: -28.720000000000052
round11 result: own hp -640 vs opp hp -219, you lose, hp_diff: -421, avg_loss: 1.4165, Total reward: -41.98
round12 result: own hp -637 vs opp hp -266, you lose, hp_diff: -371, avg_loss: 0.6986, Total reward: -24.929999999999982
round13 result: own hp -390 vs opp hp -309, you lose, hp_diff: -81, avg_loss: 0.2523, Total reward: -9.750000000000002
round14 result: own hp -527 vs opp hp -203, you lose, hp_diff: -324, avg_loss: 0.6421, Total reward: -32.35000000000005
round15 result: own hp -452 vs opp hp -197, you lose, hp_diff: -255, avg_loss: 0.6368, Total reward: -24.480000000000036
round16 result: own hp -823 vs opp hp -279, you lose, hp_diff: -544, avg_loss: 1.4859, Total reward: -53.08000000000002
round17 result: own hp -594 vs opp hp -219, you lose, hp_diff: -375, avg_loss: 0.6029, Total reward: -37.370000000000026
round18 result: own hp -569 vs opp hp -315, you lose, hp_diff: -254, avg_loss: 0.7401, Total reward: -25.320000000000032
round19 result: own hp -956 vs opp hp -410, you lose, hp_diff: -546, avg_loss: 3.9119, Total reward: -54.59000000000001
round20 result: own hp -766 vs opp hp -278, you lose, hp_diff: -488, avg_loss: 2.3041, Total reward: -48.93999999999999
round21 result: own hp -342 vs opp hp -130, you lose, hp_diff: -212, avg_loss: 0.1604, Total reward: -20.17999999999999
round22 result: own hp -854 vs opp hp -408, you lose, hp_diff: -446, avg_loss: 3.5477, Total reward: -44.769999999999996
round23 result: own hp -642 vs opp hp -348, you lose, hp_diff: -294, avg_loss: 0.8529, Total reward: -29.479999999999983
round24 result: own hp -605 vs opp hp -255, you lose, hp_diff: -350, avg_loss: 0.8249, Total reward: -33.550000000000004
round25 result: own hp -717 vs opp hp -195, you lose, hp_diff: -522, avg_loss: 1.0388, Total reward: -50.21999999999996
round26 result: own hp -539 vs opp hp -385, you lose, hp_diff: -154, avg_loss: 0.9364, Total reward: -15.520000000000007
round27 result: own hp -471 vs opp hp -330, you lose, hp_diff: -141, avg_loss: 0.7905, Total reward: -13.720000000000006
round28 result: own hp -478 vs opp hp -261, you lose, hp_diff: -217, avg_loss: 0.2673, Total reward: -21.759999999999987
round29 result: own hp -439 vs opp hp -294, you lose, hp_diff: -145, avg_loss: 0.2280, Total reward: -17.659999999999982
round30 result: own hp -369 vs opp hp -180, you lose, hp_diff: -189, avg_loss: 0.2188, Total reward: -19.829999999999973
round31 result: own hp -556 vs opp hp -212, you lose, hp_diff: -344, avg_loss: 0.8000, Total reward: -35.04000000000006
round32 result: own hp -505 vs opp hp -178, you lose, hp_diff: -327, avg_loss: 0.3723, Total reward: -32.33000000000001
round33 result: own hp -393 vs opp hp -15, you lose, hp_diff: -378, avg_loss: 0.1111, Total reward: -38.79000000000007
round34 result: own hp -319 vs opp hp -147, you lose, hp_diff: -172, avg_loss: 0.0894, Total reward: -15.310000000000002
round35 result: own hp -420 vs opp hp -257, you lose, hp_diff: -163, avg_loss: 0.3368, Total reward: -15.819999999999993
round36 result: own hp -614 vs opp hp -217, you lose, hp_diff: -397, avg_loss: 0.7616, Total reward: -42.14999999999995
round37 result: own hp -430 vs opp hp -253, you lose, hp_diff: -177, avg_loss: 0.3257, Total reward: -16.390000000000004
round38 result: own hp -409 vs opp hp -225, you lose, hp_diff: -184, avg_loss: 0.1630, Total reward: -17.02999999999999
round39 result: own hp -396 vs opp hp -236, you lose, hp_diff: -160, avg_loss: 0.2551, Total reward: -16.380000000000006
round40 result: own hp -735 vs opp hp -246, you lose, hp_diff: -489, avg_loss: 1.4199, Total reward: -47.35999999999998
round41 result: own hp -594 vs opp hp -220, you lose, hp_diff: -374, avg_loss: 1.1100, Total reward: -37.3
round42 result: own hp -515 vs opp hp -357, you lose, hp_diff: -158, avg_loss: 1.0039, Total reward: -14.150000000000006
round43 result: own hp -498 vs opp hp -336, you lose, hp_diff: -162, avg_loss: 0.5957, Total reward: -15.490000000000029
round44 result: own hp -663 vs opp hp -292, you lose, hp_diff: -371, avg_loss: 0.9355, Total reward: -37.210000000000015
round45 result: own hp -498 vs opp hp -280, you lose, hp_diff: -218, avg_loss: 0.5664, Total reward: -21.830000000000002
round46 result: own hp -596 vs opp hp -383, you lose, hp_diff: -213, avg_loss: 1.0271, Total reward: -21.27
round47 result: own hp -345 vs opp hp -300, you lose, hp_diff: -45, avg_loss: 0.2167, Total reward: -4.319999999999999
round48 result: own hp -653 vs opp hp -220, you lose, hp_diff: -433, avg_loss: 1.3913, Total reward: -42.23000000000002
round49 result: own hp -493 vs opp hp -240, you lose, hp_diff: -253, avg_loss: 0.6789, Total reward: -23.61000000000002
round50 result: own hp -489 vs opp hp -315, you lose, hp_diff: -174, avg_loss: 0.7625, Total reward: -17.690000000000005
round51 result: own hp -619 vs opp hp -388, you lose, hp_diff: -231, avg_loss: 1.0775, Total reward: -22.29
round52 result: own hp -508 vs opp hp -302, you lose, hp_diff: -206, avg_loss: 0.6746, Total reward: -20.16000000000002
round53 result: own hp -687 vs opp hp -260, you lose, hp_diff: -427, avg_loss: 1.3597, Total reward: -43.069999999999986
round54 result: own hp -563 vs opp hp -265, you lose, hp_diff: -298, avg_loss: 0.4915, Total reward: -30.280000000000015
round55 result: own hp -451 vs opp hp -260, you lose, hp_diff: -191, avg_loss: 0.3714, Total reward: -20.250000000000004
round56 result: own hp -396 vs opp hp -381, you lose, hp_diff: -15, avg_loss: 0.3106, Total reward: -4.4
round57 result: own hp -577 vs opp hp -283, you lose, hp_diff: -294, avg_loss: 0.6356, Total reward: -28.570000000000007
round58 result: own hp -659 vs opp hp -466, you lose, hp_diff: -193, avg_loss: 2.6198, Total reward: -18.489999999999995
round59 result: own hp -417 vs opp hp -360, you lose, hp_diff: -57, avg_loss: 0.4705, Total reward: -6.2299999999999995
round60 result: own hp -867 vs opp hp -425, you lose, hp_diff: -442, avg_loss: 2.1666, Total reward: -44.54
round61 result: own hp -889 vs opp hp -480, you lose, hp_diff: -409, avg_loss: 3.4431, Total reward: -42.559999999999974
round62 result: own hp -719 vs opp hp -435, you lose, hp_diff: -284, avg_loss: 2.2268, Total reward: -28.890000000000043
round63 result: own hp -595 vs opp hp -453, you lose, hp_diff: -142, avg_loss: 1.1744, Total reward: -13.46
round64 result: own hp -697 vs opp hp -332, you lose, hp_diff: -365, avg_loss: 1.7585, Total reward: -36.979999999999976
round65 result: own hp -680 vs opp hp -428, you lose, hp_diff: -252, avg_loss: 1.7333, Total reward: -25.74
round66 result: own hp -623 vs opp hp -478, you lose, hp_diff: -145, avg_loss: 1.1588, Total reward: -15.140000000000006
round67 result: own hp -422 vs opp hp -578, you win, hp_diff: 156, avg_loss: 0.7553, Total reward: 12.490000000000002
round68 result: own hp -585 vs opp hp -473, you lose, hp_diff: -112, avg_loss: 1.5594, Total reward: -11.57
round69 result: own hp -550 vs opp hp -345, you lose, hp_diff: -205, avg_loss: 0.7510, Total reward: -20.160000000000046
round70 result: own hp -600 vs opp hp -430, you lose, hp_diff: -170, avg_loss: 1.5926, Total reward: -17.449999999999992
round71 result: own hp -376 vs opp hp -445, you win, hp_diff: 69, avg_loss: 0.5613, Total reward: 4.239999999999998
round72 result: own hp -646 vs opp hp -511, you lose, hp_diff: -135, avg_loss: 1.7715, Total reward: -13.750000000000009
round73 result: own hp -457 vs opp hp -460, you win, hp_diff: 3, avg_loss: 1.0820, Total reward: 0.2199999999999982
round74 result: own hp -905 vs opp hp -350, you lose, hp_diff: -555, avg_loss: 2.3601, Total reward: -55.73000000000001
round75 result: own hp -852 vs opp hp -525, you lose, hp_diff: -327, avg_loss: 3.1573, Total reward: -31.890000000000025
round76 result: own hp -501 vs opp hp -513, you win, hp_diff: 12, avg_loss: 0.8015, Total reward: 0.40000000000000924
round77 result: own hp -413 vs opp hp -460, you win, hp_diff: 47, avg_loss: 0.5790, Total reward: 4.240000000000004
round78 result: own hp -421 vs opp hp -509, you win, hp_diff: 88, avg_loss: 0.9162, Total reward: 6.060000000000002
round79 result: own hp -463 vs opp hp -350, you lose, hp_diff: -113, avg_loss: 0.7405, Total reward: -13.93
round80 result: own hp -545 vs opp hp -328, you lose, hp_diff: -217, avg_loss: 0.9334, Total reward: -19.489999999999995
round81 result: own hp -694 vs opp hp -505, you lose, hp_diff: -189, avg_loss: 2.6641, Total reward: -19.310000000000013
round82 result: own hp -678 vs opp hp -350, you lose, hp_diff: -328, avg_loss: 1.8786, Total reward: -31.799999999999983
round83 result: own hp -483 vs opp hp -425, you lose, hp_diff: -58, avg_loss: 0.4602, Total reward: -7.18
round84 result: own hp -462 vs opp hp -228, you lose, hp_diff: -234, avg_loss: 0.8524, Total reward: -23.59999999999999
round85 result: own hp -627 vs opp hp -380, you lose, hp_diff: -247, avg_loss: 1.7806, Total reward: -27.05
round86 result: own hp -389 vs opp hp -390, you win, hp_diff: 1, avg_loss: 0.6613, Total reward: -0.08999999999999848
round87 result: own hp -622 vs opp hp -495, you lose, hp_diff: -127, avg_loss: 1.5531, Total reward: -13.309999999999995
round88 result: own hp -441 vs opp hp -495, you win, hp_diff: 54, avg_loss: 0.8323, Total reward: 2.5100000000000082
round89 result: own hp -610 vs opp hp -409, you lose, hp_diff: -201, avg_loss: 2.1913, Total reward: -20.340000000000003
round90 result: own hp -599 vs opp hp -400, you lose, hp_diff: -199, avg_loss: 1.7246, Total reward: -20.36000000000001
round91 result: own hp -543 vs opp hp -474, you lose, hp_diff: -69, avg_loss: 1.2907, Total reward: -7.900000000000002
round92 result: own hp -580 vs opp hp -653, you win, hp_diff: 73, avg_loss: 2.2418, Total reward: 7.019999999999985
