round1 result: own hp -560 vs opp hp -192, you lose, hp_diff: -368, Total reward: -36.80000000000001
round2 result: own hp -633 vs opp hp -238, you lose, hp_diff: -395, Total reward: -39.44999999999998
round3 result: own hp -735 vs opp hp -110, you lose, hp_diff: -625, Total reward: -61.25000000000001
round4 result: own hp -364 vs opp hp -249, you lose, hp_diff: -115, Total reward: -11.65
round5 result: own hp -681 vs opp hp -316, you lose, hp_diff: -365, Total reward: -34.610000000000014
round6 result: own hp -707 vs opp hp -351, you lose, hp_diff: -356, Total reward: -35.670000000000016
round7 result: own hp -667 vs opp hp -255, you lose, hp_diff: -412, Total reward: -41.330000000000005
round8 result: own hp -565 vs opp hp -268, you lose, hp_diff: -297, Total reward: -29.809999999999995
round9 result: own hp -762 vs opp hp -361, you lose, hp_diff: -401, Total reward: -40.13000000000002
round10 result: own hp -815 vs opp hp -377, you lose, hp_diff: -438, Total reward: -43.789999999999985
round11 result: own hp -566 vs opp hp -218, you lose, hp_diff: -348, Total reward: -32.97000000000003
round12 result: own hp -499 vs opp hp -420, you lose, hp_diff: -79, Total reward: -10.52
round13 result: own hp -642 vs opp hp -292, you lose, hp_diff: -350, Total reward: -35.29000000000001
round14 result: own hp -707 vs opp hp -231, you lose, hp_diff: -476, Total reward: -48.83000000000003
round15 result: own hp -669 vs opp hp -243, you lose, hp_diff: -426, Total reward: -40.93000000000001
round16 result: own hp -618 vs opp hp -265, you lose, hp_diff: -353, Total reward: -34.42000000000002
round17 result: own hp -488 vs opp hp -330, you lose, hp_diff: -158, Total reward: -15.970000000000018
round18 result: own hp -677 vs opp hp -423, you lose, hp_diff: -254, Total reward: -25.970000000000002
round19 result: own hp -516 vs opp hp -282, you lose, hp_diff: -234, Total reward: -20.669999999999984
round20 result: own hp -433 vs opp hp -170, you lose, hp_diff: -263, Total reward: -27.070000000000014
round21 result: own hp -407 vs opp hp -301, you lose, hp_diff: -106, Total reward: -10.930000000000003
round22 result: own hp -482 vs opp hp -137, you lose, hp_diff: -345, Total reward: -33.40000000000002
round23 result: own hp -715 vs opp hp -278, you lose, hp_diff: -437, Total reward: -43.160000000000004
round24 result: own hp -441 vs opp hp -185, you lose, hp_diff: -256, Total reward: -25.359999999999992
round25 result: own hp -636 vs opp hp -133, you lose, hp_diff: -503, Total reward: -50.639999999999986
round26 result: own hp -411 vs opp hp -280, you lose, hp_diff: -131, Total reward: -11.970000000000043
round27 result: own hp -381 vs opp hp -235, you lose, hp_diff: -146, Total reward: -13.7
round28 result: own hp -869 vs opp hp -260, you lose, hp_diff: -609, Total reward: -58.45999999999996
round29 result: own hp -377 vs opp hp -212, you lose, hp_diff: -165, Total reward: -16.529999999999987
round30 result: own hp -537 vs opp hp -285, you lose, hp_diff: -252, Total reward: -25.17
round31 result: own hp -595 vs opp hp -360, you lose, hp_diff: -235, Total reward: -23.840000000000003
round32 result: own hp -486 vs opp hp -230, you lose, hp_diff: -256, Total reward: -25.86999999999997
round33 result: own hp -485 vs opp hp -325, you lose, hp_diff: -160, Total reward: -14.170000000000005
round34 result: own hp -544 vs opp hp -124, you lose, hp_diff: -420, Total reward: -42.13
round35 result: own hp -614 vs opp hp -277, you lose, hp_diff: -337, Total reward: -33.68000000000008
round36 result: own hp -398 vs opp hp -352, you lose, hp_diff: -46, Total reward: -4.889999999999997
round37 result: own hp -634 vs opp hp -315, you lose, hp_diff: -319, Total reward: -31.100000000000005
round38 result: own hp -649 vs opp hp -228, you lose, hp_diff: -421, Total reward: -42.01000000000004
round39 result: own hp -514 vs opp hp -305, you lose, hp_diff: -209, Total reward: -20.99000000000001
round40 result: own hp -872 vs opp hp -370, you lose, hp_diff: -502, Total reward: -52.84000000000004
round41 result: own hp -508 vs opp hp -430, you lose, hp_diff: -78, Total reward: -8.01
round42 result: own hp -412 vs opp hp -263, you lose, hp_diff: -149, Total reward: -15.229999999999999
round43 result: own hp -364 vs opp hp -235, you lose, hp_diff: -129, Total reward: -11.28000000000001
round44 result: own hp -406 vs opp hp -300, you lose, hp_diff: -106, Total reward: -7.870000000000019
round45 result: own hp -676 vs opp hp -445, you lose, hp_diff: -231, Total reward: -23.210000000000008
